BusID: 1
Time                 |StopName  |DriverID  |PassengersCount  |BusLoad
2024-12-18 16:21:00  |Stop H    |3         |51               |34%
2024-12-18 16:28:00  |Stop I    |3         |50               |33%
2024-12-18 16:39:00  |Stop J    |3         |52               |34%
2024-12-18 16:48:00  |Stop A    |3         |41               |27%
2024-12-18 16:55:00  |Stop B    |3         |39               |26%
2024-12-18 17:04:00  |Stop C    |3         |48               |32%
2024-12-18 17:12:00  |Stop D    |3         |67               |44%
2024-12-18 17:24:00  |Stop E    |3         |98               |65%
2024-12-18 17:34:00  |Stop F    |3         |108              |72%
2024-12-18 17:42:00  |Stop G    |3         |109              |72%
2024-12-18 17:48:00  |Stop H    |3         |148              |98%
2024-12-18 17:55:00  |Stop I    |3         |129              |86%
2024-12-19 09:02:00  |Stop J    |3         |136              |90%
2024-12-19 09:11:00  |Stop A    |3         |122              |81%
2024-12-19 09:18:00  |Stop B    |3         |106              |70%
2024-12-19 09:27:00  |Stop C    |3         |102              |68%
2024-12-19 09:35:00  |Stop D    |3         |121              |80%
2024-12-19 09:47:00  |Stop E    |3         |137              |91%
2024-12-19 09:57:00  |Stop F    |3         |107              |71%
2024-12-19 10:05:00  |Stop G    |3         |124              |82%
2024-12-19 10:11:00  |Stop H    |3         |113              |75%
2024-12-19 10:18:00  |Stop I    |3         |118              |78%
2024-12-19 10:29:00  |Stop J    |3         |107              |71%
2024-12-19 10:38:00  |Stop A    |3         |86               |57%
2024-12-19 10:45:00  |Stop B    |3         |88               |58%
2024-12-19 10:54:00  |Stop C    |3         |80               |53%
2024-12-19 11:02:00  |Stop D    |3         |72               |48%
2024-12-19 11:14:00  |Stop E    |3         |72               |48%
2024-12-19 11:24:00  |Stop F    |3         |67               |44%
2024-12-19 11:32:00  |Stop G    |3         |49               |32%
2024-12-19 11:38:00  |Stop H    |3         |42               |28%
2024-12-19 11:45:00  |Stop I    |3         |34               |22%
2024-12-19 11:56:00  |Stop J    |3         |39               |26%
2024-12-19 12:05:00  |Stop A    |3         |32               |21%
2024-12-19 12:12:00  |Stop B    |3         |29               |19%
2024-12-19 12:21:00  |Stop C    |3         |29               |19%
2024-12-19 12:29:00  |Stop D    |3         |32               |21%
2024-12-19 12:41:00  |Stop E    |3         |33               |22%
2024-12-19 12:51:00  |Stop F    |3         |40               |26%
