{'level':'info','time':'2024-12-16 11:49:00','message':'Bus 3 has coming to Stop A. Passengers: +5, -6. Load: 29/150.'}
{'level':'info','time':'2024-12-16 11:50:00','message':'Bus 6 has coming to Stop C. Passengers: +8, -8. Load: 40/90.'}
{'level':'info','time':'2024-12-16 11:53:00','message':'Bus 2 has coming to Stop A. Passengers: +2, -8. Load: 39/150.'}
{'level':'info','time':'2024-12-16 11:53:00','message':'Bus 4 has coming to Stop B. Passengers: +3, -1. Load: 53/80.'}
{'level':'info','time':'2024-12-16 11:55:00','message':'Bus 5 has coming to Stop C. Passengers: +4, -8. Load: 32/110.'}
{'level':'info','time':'2024-12-16 11:55:00','message':'Bus 7 has coming to Stop D. Passengers: +4, -3. Load: 49/85.'}
{'level':'info','time':'2024-12-16 11:56:00','message':'Bus 1 has coming to Stop A. Passengers: +4, -0. Load: 52/100.'}
{'level':'info','time':'2024-12-16 11:56:00','message':'Bus 3 has coming to Stop B. Passengers: +6, -7. Load: 28/150.'}
{'level':'info','time':'2024-12-16 11:58:00','message':'Bus 6 has coming to Stop D. Passengers: +3, -8. Load: 35/90.'}
{'level':'info','time':'2024-12-16 12:00:00','message':'Bus 2 has coming to Stop B. Passengers: +2, -3. Load: 38/150.'}
{'level':'info','time':'2024-12-16 12:02:00','message':'Bus 4 has coming to Stop C. Passengers: +6, -9. Load: 50/80.'}
{'level':'info','time':'2024-12-16 12:03:00','message':'Bus 1 has coming to Stop B. Passengers: +1, -4. Load: 49/100.'}
{'level':'info','time':'2024-12-16 12:03:00','message':'Bus 5 has coming to Stop D. Passengers: +0, -0. Load: 32/110.'}
{'level':'info','time':'2024-12-16 12:05:00','message':'Bus 3 has coming to Stop C. Passengers: +6, -7. Load: 27/150.'}
{'level':'info','time':'2024-12-16 12:07:00','message':'Bus 7 has coming to Stop E. Passengers: +7, -4. Load: 52/85.'}
{'level':'info','time':'2024-12-16 12:09:00','message':'Bus 2 has coming to Stop C. Passengers: +8, -6. Load: 40/150.'}
{'level':'info','time':'2024-12-16 12:10:00','message':'Bus 4 has coming to Stop D. Passengers: +1, -11. Load: 40/80.'}
{'level':'info','time':'2024-12-16 12:10:00','message':'Bus 6 has coming to Stop E. Passengers: +9, -7. Load: 37/90.'}
{'level':'info','time':'2024-12-16 12:12:00','message':'Bus 1 has coming to Stop C. Passengers: +8, -2. Load: 55/100.'}
{'level':'info','time':'2024-12-16 12:13:00','message':'Bus 3 has coming to Stop D. Passengers: +0, -5. Load: 22/150.'}
{'level':'info','time':'2024-12-16 12:15:00','message':'Bus 5 has coming to Stop E. Passengers: +7, -10. Load: 29/110.'}
{'level':'info','time':'2024-12-16 12:17:00','message':'Bus 2 has coming to Stop D. Passengers: +2, -3. Load: 39/150.'}
{'level':'info','time':'2024-12-16 12:17:00','message':'Bus 7 has coming to Stop F. Passengers: +7, -19. Load: 40/85.'}
{'level':'info','time':'2024-12-16 12:20:00','message':'Bus 1 has coming to Stop D. Passengers: +4, -1. Load: 58/100.'}
{'level':'info','time':'2024-12-16 12:20:00','message':'Bus 6 has coming to Stop F. Passengers: +4, -12. Load: 29/90.'}
{'level':'info','time':'2024-12-16 12:22:00','message':'Bus 4 has coming to Stop E. Passengers: +6, -3. Load: 43/80.'}
{'level':'info','time':'2024-12-16 12:25:00','message':'Bus 3 has coming to Stop E. Passengers: +4, -6. Load: 20/150.'}
{'level':'info','time':'2024-12-16 12:25:00','message':'Bus 5 has coming to Stop F. Passengers: +7, -4. Load: 32/110.'}
{'level':'info','time':'2024-12-16 12:25:00','message':'Bus 7 has coming to Stop G. Passengers: +3, -14. Load: 29/85.'}
{'level':'info','time':'2024-12-16 12:28:00','message':'Bus 6 has coming to Stop G. Passengers: +4, -6. Load: 27/90.'}
{'level':'info','time':'2024-12-16 12:29:00','message':'Bus 2 has coming to Stop E. Passengers: +9, -15. Load: 33/150.'}
{'level':'info','time':'2024-12-16 12:31:00','message':'Bus 7 has coming to Stop H. Passengers: +4, -1. Load: 32/85.'}
{'level':'info','time':'2024-12-16 12:32:00','message':'Bus 1 has coming to Stop E. Passengers: +6, -17. Load: 47/100.'}
